"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","dual_distance","dual_intensity","dual_return_matching"
0.04684677720069885,4.970450401306152,-0.6103217005729675,0.04684677814599934,4.970450365544512,-0.6103216717729786,21.0,8.0,54.0,5.008,3985648483794.0,448483794.0,-7.0,0.0,0.0,-1.0
0.04682228714227676,4.967851638793945,0.7868653535842896,0.04682228563854805,4.967851706737392,0.7868653591523613,70.0,9.0,54.0,5.03,3985648483796.0,448483796.0,9.0,0.0,0.0,-1.0
0.04771755263209343,4.970782279968262,-0.4349071681499481,0.04771755237932153,4.97078251390911,-0.4349071563108143,21.0,10.0,55.0,4.99,3985648483798.0,448483798.0,-5.0,0.0,0.0,-1.0
0.04866136610507965,4.978575229644775,0.9677832126617432,0.04866136659198506,4.978575268255098,0.9677832245498352,79.0,11.0,56.0,5.072,3985648483801.0,448483801.0,11.0,0.0,0.0,-1.0
0.04878194630146027,4.990911960601807,-0.2615751028060913,0.04878194790886314,4.990912019235736,-0.2615751093022333,35.0,12.0,56.0,4.998,3985648483803.0,448483803.0,-3.0,0.0,0.0,-1.0
0.0503833070397377,4.976986885070801,-0.08687807619571686,0.05038330887237475,4.976986811468742,-0.08687807924479732,36.0,14.0,58.0,4.978,3985648483808.0,448483808.0,-1.0,0.0,0.0,-1.0
0.05673087015748024,5.60401439666748,1.501668095588684,0.05673087034819191,5.604014500939349,1.501668099684826,84.0,15.0,58.0,5.802,3985648483810.0,448483810.0,15.0,0.0,0.0,-1.0
0.04142065718770027,3.650964736938477,-0.978335976600647,0.04142065730665359,3.650964669627066,-0.9783359904875285,6.0,0.0,65.0,3.78,3985648483831.0,448483831.0,-15.0,0.0,0.0,-1.0
0.05724030360579491,4.968913555145264,0.0867384597659111,0.0572403047256376,4.968913360793575,0.08673845999329904,100.0,1.0,66.0,4.97,3985648483833.0,448483833.0,1.0,0.0,0.0,-1.0
0.04841899499297142,4.203153610229492,-0.9704388380050659,0.04841899514657246,4.203153583007471,-0.9704388484394336,4.0,2.0,66.0,4.314,3985648483835.0,448483835.0,-13.0,0.0,0.0,-1.0
0.0584571361541748,4.99879789352417,0.261993795633316,0.05845713464835716,4.998797656813815,0.2619937969521768,101.0,3.0,67.0,5.006,3985648483838.0,448483838.0,3.0,0.0,0.0,-1.0
0.05948445200920105,5.01183557510376,-0.9742707014083862,0.05948445292436794,5.011835406690895,-0.9742707303926378,4.0,4.0,68.0,5.106,3985648483840.0,448483840.0,-11.0,0.0,0.0,-1.0
0.02225050702691078,1.874706387519836,0.1640271097421646,0.02225050795619745,1.874706383086615,0.1640271078510927,1.0,5.0,68.0,1.882,3985648483842.0,448483842.0,5.0,0.0,0.0,-1.0
0.05994685739278793,4.977588176727295,-0.7884296774864197,0.05994685785776813,4.977588269071124,-0.7884297038027636,15.0,6.0,69.0,5.04,3985648483844.0,448483844.0,-9.0,0.0,0.0,-1.0
0.06092070788145065,4.986179828643799,-0.6122716069221497,0.06092070831004393,4.986179717787079,-0.612271581267461,22.0,8.0,70.0,5.024,3985648483849.0,448483849.0,-7.0,0.0,0.0,-1.0
0.06158644706010818,4.969666004180908,0.7871782183647156,0.0615864485694502,4.96966614035446,0.7871782280824418,71.0,9.0,71.0,5.032,3985648483851.0,448483851.0,9.0,0.0,0.0,-1.0
0.06162308156490326,4.972621917724609,-0.4350814819335938,0.06162308041965969,4.972622116382844,-0.4350814677963096,24.0,10.0,71.0,4.992,3985648483854.0,448483854.0,-5.0,0.0,0.0,-1.0
0.06234193220734596,4.960752010345459,0.9643486738204956,0.06234193067117264,4.960752074086956,0.9643486626330575,67.0,11.0,72.0,5.054,3985648483856.0,448483856.0,11.0,0.0,0.0,-1.0
0.06348825991153717,4.982757091522217,-0.2611564099788666,0.06348826073055365,4.982756924051101,-0.2611564216522897,32.0,12.0,73.0,4.99,3985648483858.0,448483858.0,-3.0,0.0,0.0,-1.0
0.06440392881631851,5.054621696472168,1.167046070098877,0.0644039312896275,5.054621608417532,1.167046069935971,100.0,13.0,73.0,5.188,3985648483861.0,448483861.0,13.0,0.0,0.0,-1.0
0.06420398503541946,4.970828056335449,-0.08677336573600769,0.06420398476700133,4.970828123311071,-0.08677336480617363,35.0,14.0,74.0,4.972,3985648483863.0,448483863.0,-1.0,0.0,0.0,-1.0
0.07348448038101196,5.613480091094971,1.504256248474121,0.07348447776565202,5.613479940742128,1.504256290135851,84.0,15.0,75.0,5.812,3985648483865.0,448483865.0,15.0,0.0,0.0,-1.0
0.05161589756608009,3.650834798812866,-0.978335976600647,0.05161589924979916,3.650834766003718,-0.9783359904875285,5.0,0.0,81.0,3.78,3985648483886.0,448483886.0,-15.0,0.0,0.0,-1.0
0.07064444571733475,4.996739387512207,0.08722712844610214,0.0706444456678661,4.996739415913786,0.08722712737354299,39.0,1.0,81.0,4.998,3985648483888.0,448483888.0,1.0,0.0,0.0,-1.0
0.06018409878015518,4.204950332641602,-0.9708887338638306,0.06018409897116966,4.204950523881362,-0.9708887505481213,4.0,2.0,82.0,4.316,3985648483890.0,448483890.0,-13.0,0.0,0.0,-1.0
0.07122932374477386,4.976659774780273,0.2608424127101898,0.07122932587026572,4.976659886149809,0.260842405914832,45.0,3.0,82.0,4.984,3985648483893.0,448483893.0,3.0,0.0,0.0,-1.0
0.07263362407684326,5.013625621795654,-0.9746523499488831,0.07263362766353287,5.013625550030953,-0.974652348383391,4.0,4.0,83.0,5.108000000000001,3985648483895.0,448483895.0,-11.0,0.0,0.0,-1.0
0.02766083553433418,1.886590003967285,0.1650729775428772,0.0276608356646252,1.886589990038266,0.1650729767640646,1.0,5.0,84.0,1.894,3985648483897.0,448483897.0,5.0,0.0,0.0,-1.0
0.07312273234128952,4.987289905548096,-0.7899940609931946,0.07312273063940393,4.987290092793121,-0.7899940484531659,16.0,6.0,84.0,5.05,3985648483900.0,448483900.0,-9.0,0.0,0.0,-1.0
0.07376813143491745,4.972108840942383,0.6105654239654541,0.07376813410388827,4.972109023537285,0.6105654104597888,15.0,7.0,85.0,5.01,3985648483902.0,448483902.0,7.0,0.0,0.0,-1.0
0.07472531497478485,4.978050708770752,-0.6112966537475586,0.07472531405517399,4.978050678914824,-0.6112966265202198,22.0,8.0,86.0,5.016,3985648483904.0,448483904.0,-7.0,0.0,0.0,-1.0
0.07483396679162979,4.985289096832275,0.7896811962127686,0.0748339698486422,4.98528911013832,0.7896811795230855,37.0,9.0,86.0,5.048,3985648483907.0,448483907.0,9.0,0.0,0.0,-1.0
0.0755392536520958,4.974422931671143,-0.435255765914917,0.07553925464360581,4.974422803462697,-0.4352557792818049,22.0,10.0,87.0,4.994,3985648483909.0,448483909.0,-5.0,0.0,0.0,-1.0
0.07625500857830048,4.964484691619873,0.9651119112968445,0.07625500719366045,4.964484685949841,0.9651118986145636,34.0,11.0,88.0,5.058,3985648483911.0,448483911.0,11.0,0.0,0.0,-1.0
0.07653285562992096,4.982573509216309,-0.2611564099788666,0.07653285538122319,4.982573636734029,-0.2611564216522897,14.0,12.0,88.0,4.99,3985648483914.0,448483914.0,-3.0,0.0,0.0,-1.0
0.07694482058286667,4.953099727630615,1.143651127815247,0.07694481925706109,4.953099788856478,1.14365116028421,27.0,13.0,89.0,5.084000000000001,3985648483916.0,448483916.0,13.0,0.0,0.0,-1.0
0.07821052521467209,4.97862720489502,-0.08691298216581345,0.07821052655634365,4.978627245209062,-0.0869129840576719,35.0,14.0,90.0,4.98,3985648483918.0,448483918.0,-1.0,0.0,0.0,-1.0
0.08818026632070541,5.613268375396729,1.504256248474121,0.08818026527002731,5.613268321967483,1.504256290135851,78.0,15.0,90.0,5.812,3985648483920.0,448483920.0,15.0,0.0,0.0,-1.0
0.06136777624487877,3.66227650642395,-0.9814417958259583,0.06136777633772221,3.662276607779495,-0.9814418190287587,0.0,0.0,96.0,3.792,3985648483941.0,448483941.0,-15.0,0.0,0.0,-1.0
0.0852070301771164,5.032512187957764,0.08785541355609894,0.08520702787096221,5.032512015746346,0.0878554140052852,45.0,1.0,97.0,5.034,3985648483943.0,448483943.0,1.0,0.0,0.0,-1.0
0.07125839591026306,4.208675384521484,-0.9717885255813599,0.07125839487244909,4.2086754740639,-0.9717885547654969,5.0,2.0,97.0,4.32,3985648483946.0,448483946.0,-13.0,0.0,0.0,-1.0
0.0855022445321083,4.998408317565918,0.261993795633316,0.08550224516785489,4.99840820826289,0.2619937969521768,22.0,3.0,98.0,5.006,3985648483948.0,448483948.0,3.0,0.0,0.0,-1.0
0.08636264503002167,4.99769926071167,-0.9715994000434875,0.08636264269232598,4.997699479881248,-0.9715994044573663,4.0,4.0,99.0,5.092000000000001,3985648483950.0,448483950.0,-11.0,0.0,0.0,-1.0
0.03259981796145439,1.886511087417603,0.1650729775428772,0.03259981627470415,1.886511108984282,0.1650729767640646,1.0,5.0,99.0,1.894,3985648483953.0,448483953.0,5.0,0.0,0.0,-1.0
0.08725641667842865,4.998917102813721,-0.7918712496757507,0.08725641914507508,4.998916904858814,-0.7918712620336487,17.0,6.0,100.0,5.062,3985648483955.0,448483955.0,-9.0,0.0,0.0,-1.0
0.08761758357286453,4.969898700714111,-0.6103217005729675,0.08761758509676486,4.969898853673588,-0.6103216717729786,24.0,8.0,101.0,5.008,3985648483960.0,448483960.0,-7.0,0.0,0.0,-1.0
0.08847389370203018,4.969260215759277,0.7871782183647156,0.08847389738243404,4.969260187061546,0.7871782280824418,8.0,9.0,102.0,5.032,3985648483962.0,448483962.0,9.0,0.0,0.0,-1.0
